championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
43,2,4258,1651352286000,2458,1742,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
245,2,4127,1647925284000,2327,1873,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
72,2,4036,1643870903000,2236,1964,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
102,2,3998,1651145602000,2198,2002,True,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
63,2,3935,1645255692000,2135,2065,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
78,2,3887,1648031737000,2087,2113,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
24,2,3521,1644213103000,1721,2479,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
122,2,3293,1642588834000,1493,2707,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
35,2,3220,1651681709000,1420,2780,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
98,2,3044,1641077624000,1244,2956,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
67,2,2990,1641077625000,1190,3010,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
40,2,2930,1641077625000,1130,3070,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
127,2,2888,1648611050000,1088,3112,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
92,2,2688,1643184076000,888,3312,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
84,2,2630,1645276762000,830,3370,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
33,2,2347,1644826677000,547,3653,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
13,2,2262,1645275252000,462,3738,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
55,2,2005,1648217190000,205,3995,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
222,2,1966,1645271518000,166,4034,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
412,2,1890,1641077625000,90,4110,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
11,1,1785,1641077625000,1785,15,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
15,1,1760,1641077625000,1760,40,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
1,1,1684,1650740831000,1684,116,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
18,1,1679,1650743300000,1679,121,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
69,1,1675,1641077625000,1675,125,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
432,1,1652,1650750872000,1652,148,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
75,1,1616,1641205630000,1616,184,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
36,1,1580,1641077625000,1580,220,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
266,1,1556,1648220347000,1556,244,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
126,1,1540,1642602317000,1540,260,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
157,1,1497,1647872683000,1497,303,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
110,1,1488,1645269966000,1488,312,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
58,1,1464,1641077625000,1464,336,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
429,1,1398,1650752113000,1398,402,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
61,1,1395,1646119621000,1395,405,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
112,1,1386,1642605116000,1386,414,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
777,1,1355,1648210661000,1355,445,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
17,1,1317,1647084633000,1317,483,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
82,1,1296,1651349071000,1296,504,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
518,1,1250,1641077625000,1250,550,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
115,1,1121,1641077625000,1121,679,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
22,1,1087,1641077625000,1087,713,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
498,1,1045,1641077625000,1045,755,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
89,1,1041,1641077625000,1041,759,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
53,1,976,1644232248000,976,824,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
12,1,969,1641077625000,969,831,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
555,1,954,1641077625000,954,846,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
